paper,conf,year,doi,position,name,orcid,identity
agile_2017_006,agile,2017,10.1007/978-3-319-56759-4_6,1,Markus Konkol,0000-0001-6651-0976,orcid:0000-0001-6651-0976
agile_2017_006,agile,2017,10.1007/978-3-319-56759-4_6,2,Christian Kray,0000-0002-4199-8976,orcid:0000-0002-4199-8976
agile_2017_006,agile,2017,10.1007/978-3-319-56759-4_6,3,Morin Ostkamp,,name:morin ostkamp
agile_2017_014,agile,2017,10.1007/978-3-319-56759-4_14,1,Grant McKenzie,0000-0003-3247-2777,orcid:0000-0003-3247-2777
agile_2017_014,agile,2017,10.1007/978-3-319-56759-4_14,2,Krzysztof Janowicz,,orcid:0009-0003-1968-887X
agile_2019_003,agile,2019,10.1007/978-3-030-14745-7_3,1,Federico Dassereto,,name:dassereto federico
agile_2019_003,agile,2019,10.1007/978-3-030-14745-7_3,2,Laura Rocco,0000-0002-8134-909X,orcid:0000-0002-8134-909X
agile_2019_003,agile,2019,10.1007/978-3-030-14745-7_3,3,Giovanna Guerrini,0000-0001-9125-9867,orcid:0000-0001-9125-9867
agile_2019_003,agile,2019,10.1007/978-3-030-14745-7_3,4,Michela Bertolotto,0000-0003-0122-7656,orcid:0000-0003-0122-7656
agile_2019_011,agile,2019,10.1007/978-3-030-14745-7_11,1,Toshihiro Osaragi,0000-0002-6327-3976,orcid:0000-0002-6327-3976
agile_2019_011,agile,2019,10.1007/978-3-030-14745-7_11,2,Ryo Kudo,,name:kudo ryo
agile_2021_007,agile,2021,10.5194/agile-giss-2-7-2021,1,Pei‐Chun Lai,0000-0003-2799-4781,orcid:0000-0003-2799-4781
agile_2021_007,agile,2021,10.5194/agile-giss-2-7-2021,2,Auriol Degbelo,0000-0001-5087-8776,orcid:0000-0001-5087-8776
agile_2018_004,agile,2018,10.1007/978-3-319-78208-9_4,1,Haicheng Liu,0000-0002-6734-820X,orcid:0000-0002-6734-820X
agile_2018_012,agile,2018,10.1007/978-3-319-78208-9_12,1,Denis Evangelista Sanches,,name:denis evangelista sanches
agile_2018_012,agile,2018,10.1007/978-3-319-78208-9_12,2,Luís Otávio Álvares,0000-0003-2372-4995,orcid:0000-0003-2372-4995
agile_2018_012,agile,2018,10.1007/978-3-319-78208-9_12,3,Vânia Bogorny,0000-0002-0159-4643,orcid:0000-0002-0159-4643
agile_2018_012,agile,2018,10.1007/978-3-319-78208-9_12,4,Marcos R. Vieira,0000-0003-3502-8014,orcid:0000-0003-3502-8014
agile_2018_012,agile,2018,10.1007/978-3-319-78208-9_12,5,Daniel S. Kaster,0000-0001-9628-3313,orcid:0000-0001-9628-3313
agile_2019_019,agile,2019,10.1007/978-3-030-14745-7_19,1,Barbara Hofer,0000-0001-7078-3766,orcid:0000-0001-7078-3766
agile_2019_019,agile,2019,10.1007/978-3-030-14745-7_19,2,Stefan Lang,0000-0003-0619-0098,orcid:0000-0003-0619-0098
agile_2019_019,agile,2019,10.1007/978-3-030-14745-7_19,3,Nicole Ferber,,name:ferber nicole
agile_2020_006,agile,2020,10.5194/agile-giss-1-7-2020,1,Steffen Illium,0000-0003-0021-436X,orcid:0000-0003-0021-436X
agile_2020_006,agile,2020,10.5194/agile-giss-1-7-2020,2,Philipp A. Friese,0000-0002-3124-5364,orcid:0000-0002-3124-5364
agile_2020_006,agile,2020,10.5194/agile-giss-1-7-2020,3,Robert Müller,0000-0003-3108-713X,orcid:0000-0003-3108-713X
agile_2020_006,agile,2020,10.5194/agile-giss-1-7-2020,4,Sebastian Feld,0000-0003-2782-1469,orcid:0000-0003-2782-1469
agile_2020_014,agile,2020,10.5194/agile-giss-1-15-2020,1,Amine Medad,,name:amine medad
agile_2020_014,agile,2020,10.5194/agile-giss-1-15-2020,2,Mauro Gaio,0000-0002-8041-4240,orcid:0000-0002-8041-4240
agile_2020_014,agile,2020,10.5194/agile-giss-1-15-2020,3,Ludovic Moncla,0000-0002-1590-9546,orcid:0000-0002-1590-9546
agile_2020_014,agile,2020,10.5194/agile-giss-1-15-2020,4,Sébastien Mustière,0000-0002-0272-3320,orcid:0000-0002-0272-3320
agile_2020_014,agile,2020,10.5194/agile-giss-1-15-2020,5,Yannick Le Nir,,name:le nir yannick
agile_2020_022,agile,2020,10.5194/agile-giss-1-23-2020,1,Haiqi Xu,,name:haiqi xu
agile_2020_022,agile,2020,10.5194/agile-giss-1-23-2020,2,Ehsan Hamzei,0000-0002-4712-230X,orcid:0000-0002-4712-230X
agile_2020_022,agile,2020,10.5194/agile-giss-1-23-2020,3,Enkhbold Nyamsuren,0000-0002-3680-9907,orcid:0000-0002-3680-9907
agile_2020_022,agile,2020,10.5194/agile-giss-1-23-2020,4,Han Kruiger,,name:han kruiger
