conf,paper,year,title,link,OA,DASA,REV1,REV2,REV1 CP?,REV2 CP?,disagr_CP,REV1 input data,REV2 input data,REV1 methods,REV2 methods,REV1 CE,REV2 CE,REV1 results,REV2 results,REV1 notes,REV2 notes,consolidated_cp,consolidated_data,consolidated_methods,consolidated_results,consolidated_notes,disagr_type,consolidated_CE,AGILE Reproducible badge,AGILE Reproducible report
agile,agile_2017_006,2017,Follow the Signs—Countering Disengagement from the Real World During City Exploration,https://link.springer.com/chapter/10.1007/978-3-319-56759-4_6,no,no,FO,AG,F,F,0,1 documented,1 documented,1 documented,1 documented,F,F,1 documented,1 documented,"mostly survey and user study, but well-described","Data: signage data not provided but may be recreated with some effort
Method: app code not provided",F,1 documented,1 documented,1 documented,no disagreement,no disagreement,F,NA,NA
agile,agile_2017_014,2017,The Effect of Regional Variation and Resolution on Geosocial Thematic Signatures for Points of Interest,https://link.springer.com/chapter/10.1007/978-3-319-56759-4_14,no,no,FO,AG,F,F,0,1 documented,1 documented,1 documented,1 documented,F,F,1 documented,1 documented,sufficient informaiton for reproduction attempt,"Data: Foursquare (used to be available, but not sure anymore)
Method: no repo",F,1 documented,1 documented,1 documented,no disagreement,no disagreement,F,NA,NA
agile,agile_2019_003,2019,Evaluating the Effectiveness of Embeddings in Representing the Structure of Geospatial Ontologies,https://link.springer.com/chapter/10.1007/978-3-030-14745-7_3,no,no,FO,AG,F,F,0,2 available,0 undocumented,1 documented,1 documented,F,F,1 documented,1 documented,input data seems to have been available but link does not work anymore (likely because of Twitter ToS changes),review based on ResearchGate version; links to Tweets broken (cannot be reproduced),F,2 available,1 documented,1 documented,"rev1 correct; broken link to Twitter dataset; according to protocol, assume for older links that they worked",uncertain assessment,F,NA,NA
agile,agile_2019_011,2019,Enhancing the Use of Population Statistics Derived from Mobile Phone Users by Considering Building-Use Dependent Purpose of Stay,https://link.springer.com/chapter/10.1007/978-3-030-14745-7_11,no,no,FO,AG,F,F,0,1 documented,0 undocumented,1 documented,1 documented,F,F,1 documented,1 documented,"not enough information about data set to recreate or replace in the paper, but detailed information linked",,F,0 undocumented,1 documented,1 documented,Rev2 correct,uncertain assessment,F,NA,NA
agile,agile_2021_007,2021,A Comparative Study of Typing and Speech For Map Metadata Creation (copernicus.org),https://agile-giss.copernicus.org/articles/2/7/2021/,yes,yes,FO,AG,F,F,0,3 available & open,3 available & open,3 available & open,2 available,F,T,3 available & open,3 available & open,all with DOI,,F,3 available & open,3 available & open,3 available & open,"Rev1 correct, everything available in on Figshare; after discussion, decided on CE ""F""",uncertain assessment,F,T,https://osf.io/p473e
agile,agile_2021_015,2021,Training students in Python programming skills and WPS wrapping for geoprocessing tasks by using examples of less commonly applied thematic mapping methods (copernicus.org),https://agile-giss.copernicus.org/articles/2/15/2021/,yes,yes,FO,AG,T,T,0,NA,NA,NA,NA,F,F,NA,NA,"DASA section provides much information, but course still seems non-computational",,T,NA,NA,NA,no disagreement,no disagreement,F,F,NA
agile,agile_2018_004,2018,An Artificial Stream Network and Its Application on Exploring the Effect of DEM Resolution on Hydrological Parameters,https://link.springer.com/chapter/10.1007/978-3-319-78208-9_4,no,no,CG,AG,F,F,0,1 documented,1 documented,1 documented,1 documented,T,F,1 documented,1 documented,"CG: DEM as input to generate realistic fractal terrain data. DEM is not accesible, but generation process is well described","Data: DEM from USGS (I assume that is still available somewhere)
Method:
Comp en: 
(based on https://www.researchgate.net/publication/323982150_An_Artificial_Stream_Network_and_Its_Application_on_Exploring_the_Effect_of_DEM_Resolution_on_Hydrological_Parameters)",F,1 documented,1 documented,1 documented,no disagreement,no disagreement,F,NA,NA
agile,agile_2018_012,2018,A Top-Down Algorithm with Free Distance Parameter for Mining Top-k Flock Patterns,https://link.springer.com/chapter/10.1007/978-3-319-78208-9_12,no,no,CG,AG,F,F,0,1 documented,2 available,1 documented,1 documented,T,F,0 undocumented,1 documented,"CG: Input data is geolife trajectory dataset. Main output is an algorithm,  but no code provided.  No link to online instace or similar provided. No way to test it as a reader/reviewer.",Data: Geolife ,F,2 available,1 documented,0 undocumented,Rev2 correct (data). Rev 1 correct (result). ,uncertain assessment,F,NA,NA
agile,agile_2019_019,2019,Future Occupational Profiles in Earth Observation and Geoinformation—Scenarios Resulting from Changing Workflows,https://link.springer.com/chapter/10.1007/978-3-030-14745-7_19,no,no,FO,AG,F,T,1,0 undocumented,0 undocumented,1 documented,1 documented,F,F,1 documented,0 undocumented,not enough information on the survey,"Could be considered ""conceptual"". Data: survey responses re GIS occupation profiles (http://www.eo4geo.eu/surveys/); some visualizations available in https://public.tableau.com/app/profile/florian.albrecht/vizzes",F,1 documented,1 documented,1 documented,Rev1 correct,borderline conceptual paper,F,NA,NA
agile,agile_2020_006,2020,What to do in the Meantime: A Service Coverage Analysis for Parked Autonomous Vehicles,https://doi.org/10.5194/agile-giss-1-7-2020,yes,yes,CG,AG,F,F,0,1 documented,1 documented,2 available,1 documented,T,F,1 documented,1 documented,CG. useful to read the Reproducibility report before to assess the apper. Daniel/carlos did a good job,"Data: partially available
Method: OSF repo (but I cannot access it ""you need permission"")
Results: partially reproducible according to repro study",F,1 documented,2 available,1 documented,Rev1 correct,annotation inconsistencies,F,T,https://doi.org/10.17605/OSF.IO/5SVMT
