conference,paper,year,title,conceptual paper,DASA,Open access,reviewer 1,input data,methods/analysis/processing,computational environment,results,reviewer notes,AGILE Reproducible badge,AGILE Reproducible report
agile,agile_2017_001,2017,Investigating Representations of Places with Unclear Spatial Extent in Sketch Maps,F,no,no,FO,1 documented,1 documented,F,1 documented,"no computations, but still more information would have enabled other to replicate and compare",NA,
agile,agile_2017_002,2017,Mining Rainfall Spatio-Temporal Patterns in Twitter: A Temporal Approach,F,no,no,FO,2 available,1 documented,F,1 documented,even the used tweets are still available from the repository,NA,
agile,agile_2017_003,2017,Residential Choices as a Driving Force to Vertical Segregation in Whitechapel,F,no,no,FO,0 undocumented,1 documented,F,1 documented,actually very intriguing and original research; giving a 0 on the data seems almost unfair given the immense work that went into it - but none of it is available,NA,
agile,agile_2017_004,2017,Reference Resolution for Pedestrian Wayfinding Systems,F,no,no,FO,0 undocumented,0 undocumented,F,1 documented,"although they use logistic regression, the information is probably not sufficient to replicate the study",NA,
agile,agile_2017_005,2017,3D Building Maps for Everyone—Mapping Buildings Using VGI,F,no,no,FO,1 documented,1 documented,F,1 documented,"difficult to judge whether data and methods are really level 1 and not 0, but seems more likely that replication is possible",NA,
agile,agile_2017_006,2017,Follow the Signs—Countering Disengagement from the Real World During City Exploration,F,no,no,FO,1 documented,1 documented,F,1 documented,"mostly survey and user study, but well-described",NA,
agile,agile_2017_007,2017,Perspectives in Externalizations of Mental Spatial Representations,F,no,no,FO,1 documented,1 documented,F,1 documented,user study but well-described,NA,
agile,agile_2017_008,2017,Personal Dimensions of Landmarks,T,no,no,FO,NA,NA,F,NA,,NA,
agile,agile_2017_009,2017,Personal Activity Centres and Geosocial Data Analysis: Combining Big Data with Small Data,F,no,no,FO,1 documented,1 documented,F,1 documented,replication should be possible based on the provided information,NA,
agile,agile_2017_010,2017,Spatio-Temporal Road Coverage of Probe Vehicles: A Case Study on Crowd-Sensing of Parking Availability with Taxis,F,no,no,FO,0 undocumented,1 documented,F,1 documented,"given the complexities of the geometric matching process, probably not information on the input road geometry available",NA,
agile,agile_2017_011,2017,A Big Geo Data Query Framework to Correlate Open Data with Social Network Geotagged Posts,T,no,no,FO,NA,NA,F,NA,,NA,
agile,agile_2017_012,2017,Towards Automatic Large-Scale 3D Building Reconstruction: Primitive Decomposition and Assembly,F,no,no,FO,0 undocumented,1 documented,T,0 undocumented,"The case study is very ephemeral to the paper, which could almost be classified as conceptual",NA,
agile,agile_2017_013,2017,Dynamic Transfer Patterns for Fast Multi-modal Route Planning,F,no,no,FO,2 available,2 available,F,1 documented,application available in a VM,NA,
agile,agile_2017_014,2017,The Effect of Regional Variation and Resolution on Geosocial Thematic Signatures for Points of Interest,F,no,no,FO,1 documented,1 documented,F,1 documented,sufficient informaiton for reproduction attempt,NA,
agile,agile_2017_015,2017,Distance Measure Based on Spatiotemporal Coexistence of Residents and Its Application to Urban Analysis,F,no,no,FO,0 undocumented,1 documented,F,1 documented,too little information on the input data,NA,
agile,agile_2017_016,2017,When Granules Are not Enough in a Theory of Granularities,F,no,no,FO,1 documented,1 documented,F,1 documented,"with just a little more effort, input data could have been level 2",NA,
agile,agile_2017_017,2017,Assessing Accuracy and Geographical Transferability of Machine Learning Algorithms for Wind Speed Modelling,F,no,no,FO,0 undocumented,1 documented,F,1 documented,missed chance to raise input data to level 2 because even the most simple information (which years) is missing,NA,
agile,agile_2017_018,2017,On Measures for Groups of Trajectories,T,no,no,FO,NA,NA,F,NA,,NA,
agile,agile_2017_019,2017,Beyond Pairs: Generalizing the Geo-dipole for Quantifying Spatial Patterns in Geographic Fields,F,no,no,FO,0 undocumented,1 documented,F,0 undocumented,methods only receive a 1 because of the standard methods ,NA,
agile,agile_2017_020,2017,20 Years of AGILE,T,no,no,FO,NA,NA,F,NA,,NA,
agile,agile_2018_001,2018,Evaluating Spatial Data Acquisition and Interpolation Strategies for River Bathymetries,F,no,no,CG,1 documented,1 documented,T,1 documented,CG: Input data based on US Army Corps of Engineers (cited ref). But URL is broken.,NA,
agile,agile_2018_002,2018,PLANTING: Computing High Spatio-temporal Resolutions of Photovoltaic Potential of 3D City Models,F,no,no,CG,1 documented,1 documented,T,1 documented,"CG: Several input datasets needed, but poorly described. It's hard to assign 1 to input data.",NA,
agile,agile_2018_003,2018,Interpolation of Rainfall Through Polynomial Regression in the Marche Region (Central Italy),F,no,no,CG,1 documented,1 documented,T,1 documented,CG: Detail description of input data but it is not accessible form the paper.,NA,
agile,agile_2018_004,2018,An Artificial Stream Network and Its Application on Exploring the Effect of DEM Resolution on Hydrological Parameters,F,no,no,CG,1 documented,1 documented,T,1 documented,"CG: DEM as input to generate realistic fractal terrain data. DEM is not accesible, but generation process is well described",NA,
agile,agile_2018_005,2018,"Spatio-Temporal Analysis of Mangrove Loss in Vulnerable Islands of Sundarban World Heritage Site, India",F,no,no,CG,1 documented,1 documented,T,1 documented,"CG: 5 landsat images should be accesible via https://earthexplorer.usgs.gov/; sea level data retrieved from https://psmsl.org/; Both web site work; Yet, GPS field survey collected by authors is not available; Analis done with Erdas (no version, no reference  provided)",NA,
agile,agile_2018_006,2018,3D Georeferencing of Historical Photos by Volunteers,F,no,no,CG,2 available,1 documented,T,1 documented,"CG: Input postcards are not directly accessible from the paper but they are openly accesible from the app web site (https://smapshot.heig-vd.ch/). In this paper, the web-based tool is not the output, but a means to assess user's performance in cataloging and georrefenring pictures. Yet, this paper is subject to discussion (see assessment criteria document)",NA,
agile,agile_2018_007,2018,Patterns of Consumption and Connectedness in GIS Web Sources,F,no,no,CG,2 available,2 available,T,2 available,"CG: github repo provided as footnote (https://github.com/simonscheider/GISTrends), which includes python/R scripts & data used in each section",NA,
agile,agile_2018_008,2018,Charting the Geographies of Crowdsourced Information in Greater London,F,no,no,CG,1 documented,1 documented,F,1 documented,"CG: some datasets are openly avaialabe (UK census), but others are not (Twitter data);  No code provided. No reference to computational resourecs: NOTE: Frank replciated this article one year later, so Stefano gave him access to code/data. ",NA,
agile,agile_2018_009,2018,Supporting the Monitoring of Cheetahs in Kenya by Mobile Map Apps,F,no,no,CG,1 documented,1 documented,T,0 undocumented,CG: mobile app is main output. No link to online instace or similar provided. No way to test it as a reader/reviewer. As regards input data. it is based on cheetah sightings in Kenya: level 1?,NA,
agile,agile_2018_010,2018,Introducing Spatial Variability to the Impact Significance Assessment,T,no,no,CG,NA,NA,F,NA,,NA,
agile,agile_2018_011,2018,"Development of System for Real-Time Collection, Sharing, and Use of Disaster Information",F,no,no,CG,1 documented,1 documented,T,1 documented,"CG: software system is main output. No link to online instace or similar provided. No way to test it as a reader/reviewer. In addtion, there are further experiments to validate the tool, so level 1 is ok. As regards input data. it is based on recruited participants (level 1)",NA,
agile,agile_2018_012,2018,A Top-Down Algorithm with Free Distance Parameter for Mining Top-k Flock Patterns,F,no,no,CG,1 documented,1 documented,T,0 undocumented,"CG: Input data is geolife trajectory dataset. Main output is an algorithm,  but no code provided.  No link to online instace or similar provided. No way to test it as a reader/reviewer.",NA,
agile,agile_2018_013,2018,Optimization and Evaluation of a High-Performance Open-Source Map-Matching Implementation,F,no,no,CG,1 documented,1 documented,T,0 undocumented,"CG: Input data is road netform form OSM - poorly described, no link/access. Main output is an algorithm,  but no code provided.  No link to online instace or similar provided. No way to test it as a reader/reviewer.",NA,
agile,agile_2018_014,2018,A Personalized Location-Based and Serendipity-Oriented Point of Interest Recommender Assistant Based on Behavioral Patterns,F,no,no,CG,0 undocumented,1 documented,T,0 undocumented,"CG: Input data are POI from OSM - no described, no link/access. Main output is a mobile aplication,  but no code provided.  No link to online instace or similar provided. No way to test it as a reader/reviewer. Yet, the paper includes an assessment by external users (resutls=1)",NA,
agile,agile_2018_015,2018,Identifying and Interpreting Clusters of Persons with Similar Mobility Behaviour Change Processes,F,no,no,CG,1 documented,1 documented,T,0 undocumented,"Main output is a algorithm,  but no code provided.  No link to online instace or similar provided. No way to test it as a reader/reviewer.",NA,
agile,agile_2018_016,2018,Mixed Traffic Trajectory Prediction Using LSTM–Based Models in Shared Space,F,no,no,CG,3 available & open,1 documented,T,1 documented,"CG: Inputa data based on a published paper (Pascucci et al, 2017)",NA,
agile,agile_2018_017,2018,A Framework for the Management of Deformable Moving Objects,F,no,no,CG,1 documented,1 documented,T,1 documented,"CG: Inputa data based on an open existing repository and synthetic data. Tbe former is only described, no provided.",NA,
agile,agile_2018_018,2018,A Positional Quality Control Test Based on Proportions,T,no,no,CG,NA,NA,F,NA,"CG: In my view, it is a theoretical paper although there is a small section on a ""real experiment""",NA,
agile,agile_2018_019,2018,Animation as a Visual Indicator of Positional Uncertainty in Geographic Information,F,no,no,CG,1 documented,1 documented,F,1 documented,CG: GPS data openly available from previous project (citation included ) but participants' responses is not accessible ,NA,
agile,agile_2019_001,2019,Place Questions and Human-Generated Answers: A Data Analysis Approach,F,no,no,FO,2 available,2 available,F,1 documented,level 1 for results i mainly due to lack of direct links between paper results and repository output,NA,
agile,agile_2019_002,2019,Relaxing Unanswerable Geographic Questions Using A Spatially Explicit Knowledge Graph Embedding Model,F,no,no,FO,2 available,1 documented,F,1 documented,input data seems to have been available but not anymore in the repository,NA,
agile,agile_2019_003,2019,Evaluating the Effectiveness of Embeddings in Representing the Structure of Geospatial Ontologies,F,no,no,FO,2 available,1 documented,F,1 documented,input data seems to have been available but link does not work anymore (likely because of Twitter ToS changes),NA,
agile,agile_2019_004,2019,Web-Based Visualization of Big Geospatial Vector Data,F,no,no,FO,0 undocumented,1 documented,F,1 documented,unclear input data,NA,
agile,agile_2019_005,2019,A Clustering-Based Framework for Understanding Individuals’ Travel Mode Choice Behavior,F,no,no,FO,0 undocumented,1 documented,F,1 documented,not enough information about data set to recreate or replace,NA,
agile,agile_2019_006,2019,Classification of Urban and Rural Routes Based on Motorcycle Riding Behaviour,F,no,no,FO,1 documented,1 documented,F,1 documented,very specific input data but described in detail,NA,
agile,agile_2019_007,2019,Route Choice Decisions of E-bike Users: Analysis of GPS Tracking Data in the Netherlands,F,no,no,FO,0 undocumented,1 documented,F,1 documented,input data only sketched,NA,
agile,agile_2019_008,2019,Route Optimisation for Winter Maintenance,F,no,no,FO,0 undocumented,1 documented,F,1 documented,"input data not so important for the paper, which is all the more suprising why no data was provided",NA,
agile,agile_2019_009,2019,Tracing Tourism Geographies with Google Trends: A Dutch Case Study,F,no,no,FO,2 available,2 available,F,2 available,"everything in Github repository, unfortunately no DOI for level 3",NA,
agile,agile_2019_010,2019,Estimating the Spatial Distribution of Vacant Houses Using Public Municipal Data,F,no,no,FO,1 documented,1 documented,F,1 documented,"survey input data, not sure if enough information about survey design and data processing included",NA,
agile,agile_2019_011,2019,Enhancing the Use of Population Statistics Derived from Mobile Phone Users by Considering Building-Use Dependent Purpose of Stay,F,no,no,FO,1 documented,1 documented,F,1 documented,"not enough information about data set to recreate or replace in the paper, but detailed information linked",NA,
agile,agile_2019_012,2019,Potential of Crowdsourced Traces for Detecting Updates in Authoritative Geographic Data,F,no,no,FO,0 undocumented,1 documented,F,1 documented,"although the data sources are mentioned, too little detail to attempt reproduction",NA,
agile,agile_2019_013,2019,A Scalable Analytical Framework for Spatio-Temporal Analysis of Neighborhood Change: A Sequence Analysis Approach,F,no,no,FO,2 available,1 documented,F,1 documented,"data could also be level 1, given that only a link to official census data is provided; also, preprocessing not properly explained (but could be subsumed under analysis dimension)",NA,
agile,agile_2019_014,2019,Improving Business-as-Usual Scenarios in Land Change Modelling by Extending the Calibration Period and Integrating Demographic Data,F,no,no,FO,1 documented,1 documented,F,1 documented,"data could also be level 0, given how little information is provided; however, since it uses mostly well-documented RS data sources, documentation can be found there",NA,
agile,agile_2019_015,2019,Market Area Delineation for Airports to Predict the Spread of Infectious Disease,F,no,no,FO,0 undocumented,1 documented,F,1 documented,"Very sparse information on input data, with at least one link not working anymore",NA,
agile,agile_2019_016,2019,Reflective Practice: Lessons Learnt by Using Board Games as a Design Tool for Location-Based Games,T,no,no,FO,NA,NA,F,NA,no computations,NA,
agile,agile_2019_017,2019,Agent-Based Simulation for Indoor Manufacturing Environments—Evaluating the Effects of Spatialization,F,no,no,FO,1 documented,1 documented,F,1 documented,no data but sufficient information to recreate,NA,
agile,agile_2019_018,2019,Towards a Usability Scale for Participatory GIS,F,no,no,FO,2 available,2 available,F,2 available,"although the survey itself is not reproducible, all materials to reproduce the results as well as replicate the survey are available",NA,
agile,agile_2019_019,2019,Future Occupational Profiles in Earth Observation and Geoinformation—Scenarios Resulting from Changing Workflows,F,no,no,FO,0 undocumented,1 documented,F,1 documented,not enough information on the survey,NA,
