conference,paper,year,title,conceptual paper,DASA,Open access,batch,reviewer 2,input data,methods/analysis/processing,computational environment,results,reviewer 2 notes,AGILE Reproducible badge,AGILE Reproducible report
agile,agile_2017_001,2017,Investigating Representations of Places with Unclear Spatial Extent in Sketch Maps,F,no,no,3,EK,1 documented,1 documented,F,1 documented,"Not 100% sure about this one. The input data are sketch maps, which are not fully provided, only example instances. Then some diagrams were computed based on the used symbols, but scripts are also not available. The computational need is minimal.",NA,NA
agile,agile_2017_002,2017,Mining Rainfall Spatio-Temporal Patterns in Twitter: A Temporal Approach,F,no,no,3,RD,3 available & open,1 documented,F,1 documented,"Found paper on Sci-hub
- input: Data is provided through a link from the author's university. I could not find the DOI, but it seems that the data warehouse is permanent.
- methodology / results: no link provided but well explained in the mansuscript.",NA,NA
agile,agile_2017_003,2017,Residential Choices as a Driving Force to Vertical Segregation in Whitechapel,F,no,no,3,ST,0 undocumented,1 documented,F,1 documented,"Input Data: data referenced from spatio-temporal surveys in Whitechapel, no direct links, DOIs, or publicly accessible datasets mentioned.
Methods: spatial analysis methods, including Moran’s I index and GIS-based segregation analysis, described; no code provided.
Results: results presented in figures and tables, including segregation indices and demographic patterns; no output data mentioned or shared.
Computational Environment: GIS tools referenced, but no specific hardware, software, OS, or runtime details provided.",NA,NA
agile,agile_2017_004,2017,Reference Resolution for Pedestrian Wayfinding Systems,F,no,no,3,MM,2 available,1 documented,F,1 documented,Data: requires registration,NA,NA
agile,agile_2017_005,2017,3D Building Maps for Everyone—Mapping Buildings Using VGI,T,no,no,3,PK,NA,1 documented,F,NA,"The paper is a demonstration of a building modelling system. There are computational element described, but not empirical tests of claims. As presented it would be very difficult to reproduce the demo. ",NA,NA
agile,agile_2017_006,2017,Follow the Signs—Countering Disengagement from the Real World During City Exploration,F,no,no,3,AG,1 documented,1 documented,F,1 documented,"Data: signage data not provided but may be recreated with some effort
Method: app code not provided",NA,NA
agile,agile_2017_007,2017,Perspectives in Externalizations of Mental Spatial Representations,T,no,no,3,TN,NA,NA,F,NA,"TN:
!potential conflict of interest due to previous employment and supervisory relationship!
Paper analysing differences between properties of spatial descriptions. User study conducted, no raw and anonymised data available. As there seems to be no computational analysis performed, I categorise this paper as ""conceptual"".",NA,NA
agile,agile_2017_008,2017,Personal Dimensions of Landmarks,T,no,no,3,DN,NA,NA,F,NA,DN: conceptual paper.,NA,NA
agile,agile_2017_009,2017,Personal Activity Centres and Geosocial Data Analysis: Combining Big Data with Small Data,F,no,no,3,EK,1 documented,1 documented,F,1 documented,"- Input data similar to original should still be retreavable with X/Twitter API
- No DASA, no repo, no Github, no shared code/scripts",NA,NA
agile,agile_2017_010,2017,Spatio-Temporal Road Coverage of Probe Vehicles: A Case Study on Crowd-Sensing of Parking Availability with Taxis,F,no,no,3,RD,0 undocumented,1 documented,F,1 documented,"- Input: The authors used data from real-world trajectories of taxis and parking sensors in San Francisco. No examples or data structure are provided. Additionally, they used OSM data without explicitly specifying the filter fields.
- Methodology/results: No link is provided, but the pipeline is broadly described.",NA,NA
agile,agile_2017_011,2017,A Big Geo Data Query Framework to Correlate Open Data with Social Network Geotagged Posts,F,no,no,3,ST,1 documented,1 documented,F,1 documented,"Input data: JSON/GeoJSON examples
Methods: formal syntax and examples
Results: structured JSON outputs
Computational Environment: no technical specifications
The work is a conceptual contribution ",NA,NA
agile,agile_2017_012,2017,Towards Automatic Large-Scale 3D Building Reconstruction: Primitive Decomposition and Assembly,F,no,no,3,MM,0 undocumented,0 undocumented,F,1 documented,"Data: can't find the dataset
Methods: no program or libraries mentioned
Comp: HW and computing time, but no SW or libraries",NA,NA
agile,agile_2017_013,2017,Dynamic Transfer Patterns for Fast Multi-modal Route Planning,F,no,no,3,PK,0 undocumented,0 undocumented,F,1 documented,Data: Unlikely will be able to rebuild the dataset,NA,NA
agile,agile_2017_014,2017,The Effect of Regional Variation and Resolution on Geosocial Thematic Signatures for Points of Interest,F,no,no,3,AG,1 documented,1 documented,F,1 documented,"Data: Foursquare (used to be available, but not sure anymore)
Method: no repo",NA,NA
agile,agile_2017_015,2017,Distance Measure Based on Spatiotemporal Coexistence of Residents and Its Application to Urban Analysis,F,no,no,3,TN,0 undocumented,1 documented,F,1 documented,"TN: 
- input data mentioned (Tokyo Metropolitan Person Trip Survey, 2003 Housing Demand Survey) but no link/reference and so not findable 
- no scripts or raw results available how DM_Score and resulting parameters were calculated but documented by formulas, tables, figures",NA,NA
agile,agile_2017_016,2017,When Granules Are not Enough in a Theory of Granularities,F,no,no,3,DN,0 undocumented,0 undocumented,F,1 documented,DN: paper has a demonstration case for a theoretical model which is described in detail but without code; used tornados dataset not linked at all; no code for map generation; result documentation only through maps of the demonstration case;,NA,NA
agile,agile_2017_017,2017,Assessing Accuracy and Geographical Transferability of Machine Learning Algorithms for Wind Speed Modelling,F,no,no,3,EK,1 documented,1 documented,F,1 documented,"- Torn between 0 and 1 for both data and methods; see below
- Input data should be in principle retrievable from original source but links are missing (also specific parameters needed by data portal UIs)
- The paper compares ML algorithms which are mentioned and justified, but not really described; yet again, this is not the point of the paper",NA,NA
agile,agile_2017_018,2017,On Measures for Groups of Trajectories,T,no,no,3,RD,NA,NA,F,NA,"It seems to me that it's a conceptual paper.
I could not find any link neither description of input data nor methodology. The last section 'Applications of Group Measures' is just a discussion section",NA,NA
agile,agile_2017_019,2017,Beyond Pairs: Generalizing the Geo-dipole for Quantifying Spatial Patterns in Geographic Fields,F,no,no,3,ST,0 undocumented,1 documented,F,1 documented,"Input Data: spatial patterns derived from remotely sensed images are mentioned, but no specific datasets, links, or access details are provided.
Methods: methods like geo-dipole and geo-multipole for spatial analysis are explained in detail, but no code or implementation details provided.
Results: results include figures comparing variograms and multiple-point statistics, but no output data shared.
Computational Environment: tools like Matlab and mGstat mentioned, but no details on hardware, OS, or runtime specifics.",NA,NA
agile,agile_2017_020,2017,20 Years of AGILE,F,no,no,3,MM,NA,NA,F,NA,,NA,NA
agile,agile_2018_001,2018,Evaluating Spatial Data Acquisition and Interpolation Strategies for River Bathymetries,F,no,no,2,ST,0 undocumented,1 documented,F,1 documented,"Input Data: Ohio River bathymetric data referenced (US Army Corps of Engineers), no publicly available and not well described to recreate.
Methods: spatial interpolation methods (IDW, Kriging, RBF) and acquisition strategies (cross-sections, zig-zag trajectories) documented, no code provided.
Results: documented with RMSE and MAE metrics, comparative error analyses, and sensitivity results; ouput data not shared.
Computational Environment: ArcGIS mentioned, but no hardware, OS, or runtime details provided).",NA,NA
agile,agile_2018_002,2018,PLANTING: Computing High Spatio-temporal Resolutions of Photovoltaic Potential of 3D City Models,F,no,no,2,MM,0 undocumented,0 undocumented,F,1 documented,"Data: no source, extent, dates...
Methods: no libraries' versions
Comp: OS and HW, no SW versions",NA,NA
agile,agile_2018_003,2018,Interpolation of Rainfall Through Polynomial Regression in the Marche Region (Central Italy),F,no,no,2,PK,0 undocumented,0 undocumented,F,1 documented,"Methods: Limited description, not enough to recreate w/o heavy effort",NA,NA
agile,agile_2018_004,2018,An Artificial Stream Network and Its Application on Exploring the Effect of DEM Resolution on Hydrological Parameters,F,no,no,2,AG,1 documented,1 documented,F,1 documented,"Data: DEM from USGS (I assume that is still available somewhere)
Method:
Comp en: 
(based on https://www.researchgate.net/publication/323982150_An_Artificial_Stream_Network_and_Its_Application_on_Exploring_the_Effect_of_DEM_Resolution_on_Hydrological_Parameters)",NA,NA
agile,agile_2018_005,2018,"Spatio-Temporal Analysis of Mangrove Loss in Vulnerable Islands of Sundarban World Heritage Site, India",F,no,no,2,TN,1 documented,1 documented,F,1 documented,"TN:
- Data: geographical extent of study area defined by figure, Landsat images used listed in table with corresponding properties, EarthExplorer download with login required 
- Methods: documented by text and figure, if all methods were performed in Erdas this could be the maximum of availability, otherwise scripts are missing, e.g. for change detection analysis (not clearly indicated if Erdas was used only for pre-processing or all parts). 
- Results: documented by text and tables, but no raw data available 
- stated that Erdas Imagine software was used, but no information on version or environment ",NA,NA
agile,agile_2018_006,2018,3D Georeferencing of Historical Photos by Volunteers,F,no,no,2,DN,0 undocumented,0 undocumented,F,1 documented,DN: website still running at https://smapshot.heig-vd.ch/; no mentioning of data access or code; results are documented for me because I can explore the website and try the described system out myself;,F,NA
agile,agile_2018_007,2018,Patterns of Consumption and Connectedness in GIS Web Sources,F,no,no,2,EK,2 available,2 available,F,2 available,"Data (pre-processed), scripts, intermediate and final results available on github;
Python version is obsolete (syntax) and no environment is preserved",NA,NA
