name,orcid,agile_papers,giscience_papers,total_papers,first_year,last_year,year_span,match
Martin Raubal,0000-0001-5951-6835,7,4,11,2016,2023,7,orcid
Ioannis Giannopoulos,0000-0002-2556-5230,5,6,11,2016,2024,8,orcid
Krzysztof Janowicz,0009-0003-1968-887X,8,2,10,2017,2022,5,orcid
Henry Martin,0000-0002-0456-8539,5,3,8,2018,2023,5,orcid
Gengchen Mai,0000-0002-7818-7309,5,1,6,2018,2022,4,orcid
Dominik Bucher,0000-0001-9824-5388,3,3,6,2018,2021,3,orcid
Carsten Keßler,0000-0002-9724-820X,4,1,5,2016,2022,6,orcid
Stephan Winter,0000-0002-3403-6939,4,1,5,2017,2023,6,orcid
Jan‐Henrik Haunert,0000-0001-8005-943X,1,4,5,2016,2021,5,orcid
Markus Kattenbeck,0000-0001-6028-0428,1,4,5,2018,2021,3,orcid
Christian Kray,0000-0002-4199-8976,3,1,4,2017,2024,7,orcid
Rui Zhu,0000-0002-8910-9445,3,1,4,2017,2020,3,orcid
Sabine Timpf,0000-0002-7964-4110,3,1,4,2018,2024,6,orcid
Alexander Zipf,0000-0003-4916-9838,2,2,4,2021,2023,2,orcid
Negar Alinaghi,0000-0001-6594-4481,2,2,4,2021,2024,3,orcid
Eva Nuhn,0000-0003-2443-8122,2,1,3,2018,2023,5,orcid
Grant McKenzie,0000-0003-3247-2777,2,1,3,2017,2023,6,orcid
Martin Werner,0000-0002-6951-8022,2,1,3,2021,2024,3,orcid
Sébastien Mustière,0000-0002-0272-3320,2,1,3,2018,2020,2,orcid
Arun Sharma,0000-0002-6908-6960,1,2,3,2020,2023,3,orcid
Jayant Gupta,0000-0001-7028-9928,1,2,3,2020,2023,3,orcid
Sven Lautenbach,0000-0003-1825-9996,1,2,3,2018,2021,3,orcid
W. Kühn,0000-0002-4491-0132,1,2,3,2016,2019,3,orcid
"(Jonietz, David)",,1,1,2,2018,2020,2,name
Arnaud Le-Guilcher,0000-0001-6673-6158,1,1,2,2018,2023,5,orcid
Barbara Hofer,0000-0001-7078-3766,1,1,2,2019,2021,2,orcid
Bernd Ludwig,0000-0003-3599-2081,1,1,2,2020,2021,1,orcid
Bo Yan,0000-0002-4248-7203,1,1,2,2018,2019,1,orcid
"Dax, Gabriel",0000-0002-1511-5770,1,1,2,2021,2023,2,orcid
Jens Ingensand,0000-0003-3330-4986,1,1,2,2018,2023,5,orcid
Johannes Oehrlein,0000-0003-0478-4298,1,1,2,2018,2020,2,orcid
Majid Farhadloo,0000-0001-8602-0165,1,1,2,2020,2022,2,orcid
Maria Vasardani,0000-0003-0208-0561,1,1,2,2018,2019,1,orcid
Markus Konkol,0000-0001-6651-0976,1,1,2,2017,2021,4,orcid
Nina Wiedemann,0000-0002-8160-7634,1,1,2,2022,2023,1,orcid
Ourania Kounadi,0000-0002-5998-7343,1,1,2,2020,2021,1,orcid
Shashi Shekhar,0000-0002-3191-3879,1,1,2,2020,2022,2,orcid
Yanan Xin,0000-0003-3866-821X,1,1,2,2021,2022,1,orcid
