paper,title,doi,openalex_title,sim_openalex
agile_2017_006,Follow the Signs—Countering Disengagement from the Real World During City Exploration,10.1007/978-3-319-56759-4_6,Follow the Signs—Countering Disengagement from the Real World During City Exploration,1.0
agile_2017_014,The Effect of Regional Variation and Resolution on Geosocial Thematic Signatures for Points of Interest,10.1007/978-3-319-56759-4_14,The Effect of Regional Variation and Resolution on Geosocial Thematic Signatures for Points of Interest,1.0
agile_2019_003,Evaluating the Effectiveness of Embeddings in Representing the Structure of Geospatial Ontologies,10.1007/978-3-030-14745-7_3,Evaluating the Effectiveness of Embeddings in Representing the Structure of Geospatial Ontologies,1.0
agile_2019_011,Enhancing the Use of Population Statistics Derived from Mobile Phone Users by Considering Building-Use Dependent Purpose of Stay,10.1007/978-3-030-14745-7_11,Enhancing the Use of Population Statistics Derived from Mobile Phone Users by Considering Building-Use Dependent Purpose of Stay,1.0
agile_2021_007,A Comparative Study of Typing and Speech For Map Metadata Creation (copernicus.org),10.5194/agile-giss-2-7-2021,A Comparative Study of Typing and Speech For Map Metadata Creation,0.8979591836734694
agile_2018_004,An Artificial Stream Network and Its Application on Exploring the Effect of DEM Resolution on Hydrological Parameters,10.1007/978-3-319-78208-9_4,An Artificial Stream Network and Its Application on Exploring the Effect of DEM Resolution on Hydrological Parameters,1.0
agile_2018_012,A Top-Down Algorithm with Free Distance Parameter for Mining Top-k Flock Patterns,10.1007/978-3-319-78208-9_12,A Top-Down Algorithm with Free Distance Parameter for Mining Top-k Flock Patterns,1.0
agile_2019_019,Future Occupational Profiles in Earth Observation and Geoinformation—Scenarios Resulting from Changing Workflows,10.1007/978-3-030-14745-7_19,Future Occupational Profiles in Earth Observation and Geoinformation—Scenarios Resulting from Changing Workflows,1.0
agile_2020_006,What to do in the Meantime: A Service Coverage Analysis for Parked Autonomous Vehicles,10.5194/agile-giss-1-7-2020,What to do in the Meantime: A Service Coverage Analysis for Parked Autonomous Vehicles,1.0
agile_2020_014,Comparing supervised learning algorithms for Spatial Nominal Entity recognition,10.5194/agile-giss-1-15-2020,Comparing supervised learning algorithms for Spatial Nominal Entity recognition,1.0
agile_2020_022,Extracting interrogative intents and concepts from geo-analytic questions,10.5194/agile-giss-1-23-2020,Extracting interrogative intents and concepts from geo-analytic questions,1.0
agile_2022_004,What are intersections for pedestrian users?,10.5194/agile-giss-3-4-2022,What are intersections for pedestrian users?,1.0
agile_2022_012,"""Landmark Route"": A Comparison to the Shortest Route",10.5194/agile-giss-3-12-2022,&amp;quot;Landmark Route&amp;quot;: A Comparison to the Shortest Route,0.8448275862068966
agile_2022_020,A machine learning based approach for predicting usage efficiency of shared e-scooters using vehicle availability data,10.5194/agile-giss-3-20-2022,A machine learning based approach for predicting usage efficiency of shared e-scooters using vehicle availability data,1.0
agile_2023_002,Analysis of cycling network evolution in OpenStreetMap through a data quality prism,10.5194/agile-giss-4-3-2023,Analysis of cycling network evolution in OpenStreetMap through a data quality prism,1.0
agile_2023_010,Extreme heat alerts and impacts across Mozambique 2016 – 2022: gathering evidence from media articles,10.5194/agile-giss-4-11-2023,Extreme heat alerts and impacts across Mozambique 2016 – 2022: gathering evidence from media articles,1.0
agile_2024_004,Process Analysis in Humanitarian Voluntary Geographic Information: the case of the HOT Tasking Manager,10.5194/agile-giss-5-5-2024,Process Analysis in Humanitarian Voluntary Geographic Information: the case of the HOT Tasking Manager,1.0
agile_2024_012,A Gamified Platform to Encourage Sustainable Behaviours,10.5194/agile-giss-5-13-2024,A Gamified Platform to Encourage Sustainable Behaviours,1.0
giscience_2016_001,Computing River Floods Using Massive Terrain Data,10.1007/978-3-319-45738-3_1,Computing River Floods Using Massive Terrain Data,1.0
giscience_2016_009,Representing the Spatial Extent of Places Based on Flickr Photos with a Representativeness-Weighted Kernel Density Estimation,10.1007/978-3-319-45738-3_9,Representing the Spatial Extent of Places Based on Flickr Photos with a Representativeness-Weighted Kernel Density Estimation,1.0
giscience_2016_017,Exploring the Notion of Spatial Lenses,10.1007/978-3-319-45738-3_17,Exploring the Notion of Spatial Lenses,1.0
giscience_2018_008,Labeling Points of Interest in Dynamic Maps using Disk Labels,10.4230/LIPIcs.GIScience.2018.8,Labeling Points of Interest in Dynamic Maps using Disk Labels,1.0
giscience_2018_016,FUTURES-AMR: Towards an Adaptive Mesh Refinement Framework for Geosimulations,10.4230/LIPIcs.GIScience.2018.16,FUTURES-AMR: Towards an Adaptive Mesh Refinement Framework for Geosimulations,1.0
giscience_2021_008,"Not Arbitrary, Systematic! Average-Based Route Selection for Navigation Experiments",10.4230/lipics.giscience.2021.i.8,"Not Arbitrary, Systematic! Average-Based Route Selection for Navigation Experiments",1.0
giscience_2021_016,Traffic Prediction Framework for OpenStreetMap Using Deep Learning Based Complex Event Processing and Open Traffic Cameras,10.4230/lipics.giscience.2021.i.17,Traffic prediction framework for OpenStreetMap using deep learning based complex event processing and open traffic cameras,1.0
giscience_2021_024,Harmonious Simplification of Isolines,10.4230/lipics.giscience.2021.ii.8,Harmonious Simplification of Isolines,1.0
giscience_2023_007,Semi-Supervised Learning from Street-View Images and OpenStreetMap for Automatic Building Height Estimation,10.4230/LIPIcs.GIScience.2023.7,Semi-Supervised Learning from Street-View Images and OpenStreetMap for Automatic Building Height Estimation,1.0
agile_2017_016,When Granules Are not Enough in a Theory of Granularities,10.1007/978-3-319-56759-4_16,When Granules Are not Enough in a Theory of Granularities,1.0
agile_2019_005,A Clustering-Based Framework for Understanding Individuals’ Travel Mode Choice Behavior,10.1007/978-3-030-14745-7_5,A Clustering-Based Framework for Understanding Individuals’ Travel Mode Choice Behavior,1.0
