identity,name,group,conf,year,paper,consolidated_data,consolidated_methods,consolidated_results
name:arthur goethem van,Arthur van Goethem,giscience_pre,giscience,2016,giscience_2016_019,U,D,D
name:arthur goethem van,Arthur van Goethem,giscience_post,giscience,2021,giscience_2021_024,U,A,D
name:ashwin shashidharan,Ashwin Shashidharan,giscience_pre,giscience,2016,giscience_2016_011,U,D,D
name:ashwin shashidharan,Ashwin Shashidharan,giscience_pre,giscience,2018,giscience_2018_016,U,D,D
orcid:0000-0001-5087-8776,Auriol Degbelo,agile_post,agile,2021,agile_2021_007,O,O,O
orcid:0000-0001-5087-8776,Auriol Degbelo,agile_post,agile,2024,agile_2024_006,U,A,A
orcid:0000-0001-5951-6835,Martin Raubal,giscience_pre,giscience,2016,giscience_2016_021,U,D,D
orcid:0000-0001-5951-6835,Martin Raubal,agile_pre,agile,2017,agile_2017_017,U,D,D
orcid:0000-0001-5951-6835,Martin Raubal,agile_pre,agile,2018,agile_2018_015,U,D,D
orcid:0000-0001-5951-6835,Martin Raubal,giscience_pre,giscience,2018,giscience_2018_015,U,D,D
orcid:0000-0001-5951-6835,Martin Raubal,agile_pre,agile,2019,agile_2019_005,U,D,D
orcid:0000-0001-5951-6835,Martin Raubal,giscience_post,giscience,2021,giscience_2021_020,D,A,A
orcid:0000-0001-5951-6835,Martin Raubal,agile_post,agile,2022,agile_2022_003,U,A,D
orcid:0000-0001-5951-6835,Martin Raubal,agile_post,agile,2022,agile_2022_019,D,A,D
orcid:0000-0001-5951-6835,Martin Raubal,agile_post,agile,2023,agile_2023_011,A,A,A
orcid:0000-0001-6028-0428,Markus Kattenbeck,giscience_pre,giscience,2018,giscience_2018_007,U,U,D
orcid:0000-0001-6028-0428,Markus Kattenbeck,giscience_post,giscience,2021,giscience_2021_021,D,D,A
orcid:0000-0001-6028-0428,Markus Kattenbeck,giscience_post,giscience,2021,giscience_2021_025,U,D,D
orcid:0000-0001-6039-7810,Meilin Shi,agile_post,agile,2021,agile_2021_014,A,A,D
orcid:0000-0001-6039-7810,Meilin Shi,agile_post,agile,2022,agile_2022_009,A,A,A
orcid:0000-0001-6039-7810,Meilin Shi,agile_post,agile,2022,agile_2022_021,A,A,A
orcid:0000-0001-6553-7317,Thomas C. van Dijk,giscience_post,giscience,2021,giscience_2021_028,U,U,D
orcid:0000-0001-6553-7317,Thomas C. van Dijk,giscience_post,giscience,2023,giscience_2023_005,A,A,D
