name_key,name_seen,n_papers,candidate_orcids,chosen_orcid,notes
cardoso matias,Matias Cardoso,1,0000-0002-7578-4052;0009-0003-9939-108X;0009-0004-9048-7920;0009-0003-0110-7918;0000-0002-1130-3539,,
christopher farah,Christopher Farah,1,0000-0001-8907-592X;0009-0005-3579-9822;0009-0000-2984-0693,,
chen jiaoli,Jiaoli Chen,1,0009-0001-5086-6035,,
dafni karkasina,Dafni Karkasina,1,,,
dassereto federico,Federico Dassereto,1,,,
denis evangelista sanches,Denis Evangelista Sanches,1,,,
dhaval salwala,Dhaval Salwala,1,0000-0001-9787-4844,,
dollner jurgen,Jürgen Döllner,1,0000-0002-8981-8583,,
doryan kaced,Doryan Kaced,1,,,
enid lotstein,Enid L. Lotstein,1,,,
eva marie schomann,Eva-Marie Schömann,1,,,
fan hongchao,"Fan, Hongchao",1,0000-0002-4416-6817;0000-0003-2863-8447;0000-0002-0051-7451,,
fateme teimouri,Fateme Teimouri,1,,,
fazzini massimilano,Massimilano Fazzini,1,,,
ferber nicole,Nicole Ferber,1,0000-0002-6887-4084,,
filip krumpe,Filip Krumpe,1,,,
fiona polzin,Fiona Polzin,1,0000-0002-0029-1050,,
flint shlomit,Shlomit Flint,1,0000-0002-1361-7910,,
floor luub,Floor Luub,1,0000-0002-0209-0260,,
fogliaroni paolo,"Fogliaroni, Paolo",1,0000-0002-0578-8904,,
frank staals,Frank Staals,1,0000-0003-1599-8590;0009-0004-8522-1351,,
franziska konig,Franziska König,1,0000-0002-1750-9300;0000-0002-3367-7371;0000-0003-1148-0268;0009-0002-1010-0040,,
adrian sarbach,Adrian Sarbach,1,,,
gefei kong,"Kong, Gefei",1,0000-0002-4641-7456,,
gert meijer,Gert G.T. Meijer,1,,,
giuseppe pelagatti,Giuseppe Pelagatti,1,0000-0003-3285-6236,,
gilbert kotzbek,Gilbert Kotzbek,1,,,
goldberg grace,Grace Goldberg,1,0009-0002-5966-1084,,
gotze jana,Jana Götze,1,0000-0002-7829-5561,,
grundemann thomas,Thomas Gründemann,1,0000-0002-0596-7451,,
gutbell ralf,Ralf Gutbell,1,0000-0003-3278-6776,,
hamburger kai,Kai Hamburger,1,,,
hamper jannik,Jannik Hamper,1,,,
han kruiger,Han Kruiger,1,0000-0002-0901-202X,,
hao li,"Li, Hao",1,0000-0003-0974-771X;0000-0003-4235-9380;0000-0002-5817-6805;0000-0002-3300-1849;0000-0002-5061-5113,,
haverkort herman,Herman Haverkort,1,0009-0009-2549-9622,,
helmbrecht johannes,Johannes Helmbrecht,1,,,
hideo takaoka,Hideo Takaoka,1,0000-0002-8980-2231,,
hisadomi kohta,Kohta Hisadomi,1,,,
humayun imaduddin mohammed,Mohammed Imaduddin Humayun,1,,,
ikki niwa,Ikki Niwa,1,,,
irada ismayilova,Irada Ismayilova,1,0000-0003-4414-4084;0009-0007-5683-1080;0009-0006-8329-6485,,
isabell klipper,Isabell G. Klipper,1,,,
isabella kreller,Isabella Kreller,1,0009-0003-3603-9791,,
iso javier nogueras,Javier Nogueras-Iso,1,0000-0002-1279-0367,,
ito natsuki,Natsuki Ito,1,0000-0001-5405-1629;0009-0009-0814-5689,,
james kang,James M. Kang,1,,,
jan jedersberger,Jan Jedersberger,1,,,
jankovic nikola,"Jankovic, Nikola",1,0009-0007-4266-7021;0009-0009-5484-6689;0000-0003-3484-4220,,
jeremy kalsron,Jérémy Kalsron,1,,,
jimin wang,"Wang, Jimin",1,0000-0001-8542-8644;0000-0001-6354-3561;0000-0002-3871-4995;0000-0003-2055-0125;0000-0002-3402-2916,,
joao monteiro,João Monteiro,1,0000-0003-1193-8718;0000-0002-2575-7865;0000-0001-6289-1900;0000-0002-3746-4082;0009-0000-7126-1302,,
joris scholl,Joris Y. Scholl,1,,,
julia senner,Julia Senner,1,,,
jungwoo yang,Jungwoo Yang,1,0000-0002-1436-8231;0000-0003-2702-0901;0009-0003-9777-2110;0000-0003-3836-729X,,
kato yugo,Yugo Kato,1,0000-0002-3828-5430;0000-0002-8357-0986;0000-0002-4334-962X,,
kenta ouchi,Kenta Ouchi,1,,,
kern stefan,Stefan Kern,1,0000-0002-3744-3556;0000-0003-1848-8369;0000-0001-7281-3746;0000-0002-9032-4337;0000-0002-6911-0246,,
khoshahval samira,Samira Khoshahval,1,0000-0002-9079-534X,,
krieger pauline,Pauline Krieger,1,0000-0002-7808-0448,,
kudo ryo,Ryo Kudo,1,0000-0001-7581-2431;0009-0000-1510-0256,,
kulik lars,Lars Kulik,1,0000-0003-3357-736X,,
le nir yannick,Yannick Le Nir,1,,,
lindsay,A. Lindsay,1,0000-0003-0735-7785;0000-0001-7008-5677;0009-0002-9470-7447,,
loffler maarten,Maarten Löffler,1,0009-0001-9403-8856,,
